1
    LCPFCT Test #1 - Constant V Convection:   step =   0 and TIME =  0.000
          with DX = 0.100 DT = 0.020 and VX = 0.500CFL = 0.100

    I     X(I)     Square    exact     Circle    exact   Gaussian    exact
   37   3.65000   1.00000   1.00000   0.85082   0.84797   0.32524   0.32516
   38   3.75000   1.00000   1.00000   0.83273   0.83514   0.29818   0.29825
   39   3.85000   1.00000   1.00000   0.82235   0.82161   0.27274   0.27270
   40   3.95000   1.00000   1.00000   0.80935   0.80737   0.24858   0.24854
   41   4.05000   1.00000   1.00000   0.78786   0.79237   0.22566   0.22579
   42   4.15000   1.00000   1.00000   0.78128   0.77656   0.20463   0.20447
   43   4.25000   1.00000   1.00000   0.75876   0.75990   0.18451   0.18458
   44   4.35000   1.00000   1.00000   0.73754   0.74232   0.16596   0.16608
   45   4.45000   1.00000   1.00000   0.73155   0.72377   0.14922   0.14897
   46   4.55000   1.00000   1.00000   0.70123   0.70415   0.13304   0.13319
   47   4.65000   1.00000   1.00000   0.67622   0.68340   0.11850   0.11870
   48   4.75000   1.00000   1.00000   0.67200   0.66138   0.10583   0.10545
   49   4.85000   1.00000   1.00000   0.63865   0.63798   0.09332   0.09338
   50   4.95000   1.00000   1.00000   0.59871   0.61304   0.08194   0.08242
   51   5.05000   1.00000   1.00000   0.59332   0.58635   0.07287   0.07252
   52   5.15000   1.00000   1.00000   0.57340   0.55767   0.06411   0.06361
   53   5.25000   1.00000   1.00000   0.51350   0.52667   0.05500   0.05561
   54   5.35000   1.00000   1.00000   0.47392   0.49291   0.04784   0.04846
   55   5.45000   1.00000   1.00000   0.47273   0.45579   0.04292   0.04210
   56   5.55000   1.00000   1.00000   0.44497   0.41438   0.03750   0.03646
   57   5.65000   1.00000   1.00000   0.35384   0.36723   0.03066   0.03147
   58   5.75000   1.00000   1.00000   0.25537   0.31170   0.02492   0.02707
   59   5.85000   1.00000   1.00000   0.21118   0.24193   0.02253   0.02322
   60   5.95000   1.00000   1.00000   0.20869   0.13328   0.02240   0.01985
   61   6.05000   1.00000   1.00000   0.20869   0.13328   0.02240   0.01985
   62   6.15000   1.00000   1.00000   0.21208   0.24193   0.02248   0.02322
   63   6.25000   1.00000   1.00000   0.27623   0.31170   0.02582   0.02707
